Count	Timestamp	Time since start (s)		Cray node E (J)	Cray cpu E (J)	Cray memory E (J)	Cray node E since start (J)	Cray cpu E since start (J)	Cray memory E since start (J)	Cray node P (W)	Cray cpu P (W)	Cray memory P (W)	Cray node P calc (W)	Cray cpu P calc (W)	Cray memory P calc (W)	Cpufreq frequency (MHz)	Cray frequency (MHz)	
--- EMON TAG START: application_summary
91	2019-08-21 17:12:45	46.000000	697139166.000000	403165597.000000	46631627.000000	5795.000000	3618.000000	588.000000	127.000000	79.000000	13.000000	128.000000	78.000000	14.000000	1301.000000	10.000000	
92	2019-08-21 17:12:45	46.000000	697139230.000000	403165637.000000	46631633.000000	5859.000000	3658.000000	594.000000	127.000000	79.000000	13.000000	128.000000	80.000000	12.000000	1301.000000	10.000000	
93	2019-08-21 17:12:46	47.000000	697139293.000000	403165677.000000	46631640.000000	5922.000000	3698.000000	601.000000	127.000000	79.000000	13.000000	126.000000	80.000000	14.000000	1301.000000	10.000000	
94	2019-08-21 17:12:46	47.000000	697139357.000000	403165717.000000	46631646.000000	5986.000000	3738.000000	607.000000	127.000000	79.000000	13.000000	128.000000	80.000000	12.000000	1301.000000	10.000000	
95	2019-08-21 17:12:47	48.000000	697139421.000000	403165756.000000	46631653.000000	6050.000000	3777.000000	614.000000	127.000000	79.000000	13.000000	128.000000	78.000000	14.000000	1301.000000	10.000000	
96	2019-08-21 17:12:47	48.000000	697139484.000000	403165796.000000	46631659.000000	6113.000000	3817.000000	620.000000	127.000000	79.000000	13.000000	126.000000	80.000000	12.000000	1301.000000	10.000000	
97	2019-08-21 17:12:48	49.000000	697139548.000000	403165836.000000	46631665.000000	6177.000000	3857.000000	626.000000	128.000000	80.000000	13.000000	128.000000	80.000000	12.000000	1301.000000	10.000000	
98	2019-08-21 17:12:48	49.000000	697139612.000000	403165875.000000	46631672.000000	6241.000000	3896.000000	633.000000	127.000000	79.000000	13.000000	128.000000	78.000000	14.000000	1301.000000	10.000000	
99	2019-08-21 17:12:49	50.000000	697139675.000000	403165915.000000	46631678.000000	6304.000000	3936.000000	639.000000	127.000000	80.000000	13.000000	126.000000	80.000000	12.000000	1301.000000	10.000000	
100	2019-08-21 17:12:49	50.000000	697139739.000000	403165955.000000	46631685.000000	6368.000000	3976.000000	646.000000	127.000000	80.000000	13.000000	128.000000	80.000000	14.000000	1301.000000	10.000000	
101	2019-08-21 17:12:50	51.000000	697139802.000000	403165994.000000	46631691.000000	6431.000000	4015.000000	652.000000	127.000000	79.000000	13.000000	126.000000	78.000000	12.000000	1301.000000	10.000000	
102	2019-08-21 17:12:50	51.000000	697139866.000000	403166034.000000	46631698.000000	6495.000000	4055.000000	659.000000	127.000000	79.000000	13.000000	128.000000	80.000000	14.000000	1301.000000	10.000000	
103	2019-08-21 17:12:51	52.000000	697139930.000000	403166074.000000	46631704.000000	6559.000000	4095.000000	665.000000	127.000000	80.000000	13.000000	128.000000	80.000000	12.000000	1301.000000	10.000000	
104	2019-08-21 17:12:51	52.000000	697139993.000000	403166114.000000	46631711.000000	6622.000000	4135.000000	672.000000	127.000000	79.000000	13.000000	126.000000	80.000000	14.000000	1301.000000	10.000000	
105	2019-08-21 17:12:52	53.000000	697140057.000000	403166153.000000	46631717.000000	6686.000000	4174.000000	678.000000	127.000000	79.000000	13.000000	128.000000	78.000000	12.000000	1301.000000	10.000000	
106	2019-08-21 17:12:52	53.000000	697140121.000000	403166193.000000	46631723.000000	6750.000000	4214.000000	684.000000	127.000000	79.000000	13.000000	128.000000	80.000000	12.000000	1301.000000	10.000000	
107	2019-08-21 17:12:53	54.000000	697140184.000000	403166233.000000	46631730.000000	6813.000000	4254.000000	691.000000	127.000000	79.000000	13.000000	126.000000	80.000000	14.000000	1301.000000	10.000000	
108	2019-08-21 17:12:53	54.000000	697140248.000000	403166272.000000	46631736.000000	6877.000000	4293.000000	697.000000	127.000000	80.000000	13.000000	128.000000	78.000000	12.000000	1301.000000	10.000000	
109	2019-08-21 17:12:54	55.000000	697140311.000000	403166312.000000	46631743.000000	6940.000000	4333.000000	704.000000	127.000000	79.000000	13.000000	126.000000	80.000000	14.000000	1301.000000	10.000000	
